id,review_id,review_text,labels
1,204668112,"The volitiles hunting  in broad daylight make it impossible  to step outside   without an immediate level 4 chase. The game is basically just running away while getting h it, in the back, until you're  dead",gameplay
2,204918645,Not like 1 or 2. Most quests and dialogue make no sense and contradict what you were taught. Do not recommend this game expecally for 80$. even 10$ would be pushing it,story
3,207411410,"This game, even at the simplest level, has no saves and limited player resources. What player resources it does have, even in the earlier stages of the game, are woefully inadequate to make this game fun or even playable, in my opinion. Had I known this prior to purchasing the game, I would never have purchased it. After 23 hours of playing this ""game"", I decided to shelf the game forever. If I could, I would ask for a refund of my purchase price and purchase a game that is much better designed and more interesting than this ""brick"".","content,price"
4,205077165,For the amount of times that ive gotten stuck/glitched in a random spot on this game they need to add an unstuck option somewhere in the menu. Ive had to restart my game so many times because i would get stuck just exploring the world or even just looting a building.,bugs
5,209093210,as of now coop and multiplayer is broken. every few seconds it desyncs from the host causing the missions to not progress. wasnt always like this but something changed.,bugs
6,204937043,"Edit: Latest patch absolutely killed performance. Runs horrible now. 

Beautiful parkour and graphics.
Movement are too janky at alot of times.

DL1 Grapple hook just better..","performance,bugs,gameplay,graphics"
7,208284106,"Coming from someone who played all other Dying light games this is by far the worst story of all of them, including DLC. It has incredibly unlikable characters, mid combat and a useless grappling hook. The bigger map just means you have to run around a ton between missions. Really disappointing...","story,gameplay,content"
8,205105337,"I have played all the previous games and they have been great, however this one is very disappointing.

No fast travel and the grappling hook SUUUUCKS. The mods which require you to manually activate them are pretty dumb to. I have always played these games with two other friends and neither of them or I will ever use these mods.

The brutal difficulty is good but mainly it just draws out boss fights and makes them very tedious. When killing the bosses to become ""stronger"", it never felt like you were. When using best mode the damage felt the same especially against bosses.

There is also a extreme lack of skill points and most of the ""beast skills"" are pretty useless and really only apply to killing normal infected, as the skills used on bosses do less damage then using your weapons. 

Some pros are that the game looks really good and the weapons themselves are cool.

We have completed the majority of the game on brutal difficulty, but at this point with out fast travel and the tedious and pointless boss fights we may just turn down the difficulty to complete the game sooner. 

If we could we would refund if it was still possible.","gameplay,content,graphics,price"
9,204652449,"More girlbosses telling you what to do.
You people must have a degradation fetish to keep playing these games.

And why do the survivors of the Alps look like the kind of people you would find on the side of a street in New York?…",graphics
10,208334142,Game crashes on the title screen. I've tried everything. I sometimes get it to work but about 80% of the time it crashes. My laptop is above and beyond what is required to play and ive reinstalled everything multiple times.,bugs
11,204879561,"The game is mid, terrible shadows for crane the story is too short and feels rushed. There's literally no interaction with ""the beast"" besides the finale quest yet the game is saying it's made caster woods its hunting grounds? ""The beast"" is hardly even mentioned. You don't hunt chimera you just go on quests. 

The story is mid, the map design is pretty bad, too many open areas with nothing to climb on. Even in beast mode you'll struggle to escape volatile chases in open areas.","story,content"
12,204702096,"Best dlc for Dying Light 2!!!!! I'll wait till they announce dlc for The Beast, where we can watch and expirience how Aiden becomes a beast himself. And who didnt noticed what this game was about: Kyle, who was fighting the beast inside him, simbolically kills the man(baron), who showed his real identity as a monster(beast) to everyone, clears monster inside him and flee away into better future. 

2.5 reused assets and ""new"" more than 20 climb anims(from dl2 ig) / 10 realistic and detailed parkour as in dl1","gameplay,content"
13,217533952,"Honestly, big let down.
the drop is quality from the last game is crazy

Parkour is terrible. everything kills momentum. 

Skill tree is lame and linear. no choices to be made.

constantly losing grip while climbing and falling for no reason, randomly falling off ledges you are already holding onto.

respawning after death usually drops you in the middle of a horde with no ammo and you lose all of your XP.

Walkie Talkie was a great idea. too bad they didn't use it and you still have to run back and forth to talk to people.

This feels like a bad port",gameplay
14,210668924,Game doesn't allow you to alt tab onto other monitors to use. Hijacks your computer when its running. Can't deal with that in 2025.,gameplay
15,204672402,"9/21/25 edit: The only partial fix I have is to run it on D3D11 instead of D3D12, and disable Asynchronus Compute. Still, in cutscenes, its a 50/50 chance to crash but it didnt happen during normal gameplay at least. Still incredibly frustrating and I cant play (and reccomend this) due to these problems. 

9/20/25 edit: Completely wiped all previous drivers via DDU and fresh installed the latest drivers intended for this game (AMD Adrenalin v25.9.2) but it still happens, if anything it happens more often. I cannot play this game because of it anymore, it just crashes every 3-5 minutes now, which sucks because I'm really enjoying it.

Im not that far, but im enjoying it so far. Note to those with AMD GPU's: im rocking a 9800x3d and a 7900xtx, and the game just randomly crashes. No warning or anything, it'll just freeze and keep playing audio for 5 seconds, black screen on all my monitors, then crash. No common demoninator in what I do, I'm not maxing out my GPU or anything (only 75-85% usage) or my cpu either (70% at most), not PSU related either. Hope they patch it or something cause otherwise its almost unplayable for me.","bugs,story,gameplay,content,audio"
16,209560256,Game series has great movement and parkour mechanics. Set it in a map where the few buildings there actually are are designed to make parkour awkward and fill the rest with big open spaces where you can't use movement at all,"gameplay,content"
17,204640465,"Game has the same problems as ""Dying Light 2"" without full support for ultrawide 21.9 3440x1440, ""MENUS"" ""HUD"" LOCKED AT 16x9 which is very bad and does not bring a good experience for those who want to take full advantage of their monitor, I hope Techland fixes this in DLTB and DL2 one day, this game is not fully optimizedand I needed to turn on DLSS + FRAME GENERATION to reach a stable 120 FPS on an RTX 4070Ti, R7 5800x3D, 32GBs, I will come back here to change and update my analysis as the ""UPGRADES"" arrive to the game, for now I recommend waiting to buy, as it has become practice in the gaming industry to release with problems and then fix them later, Techland is to be congratulated for the release of ""Dying Light The Beast"" but they need to fix these problems.

*Another annoying thing is that every time I open the game, even with ""single player"" mode on and ""COOP"" off, it opens the Epic Games website twice trying to force me to create or link an account on the Epic Games Store.

""Menu LOCKED IN 16x9"". 
https://steamcommunity.com/sharedfiles/filedetails/?id=3570456036

""Config LOCKED IN 16x9"". 
https://steamcommunity.com/sharedfiles/filedetails/?id=3570456149

""HUD LOCKED IN 16x9"". 
https://steamcommunity.com/sharedfiles/filedetails/?id=3570456377

""CUTSCENES"" Confirmed 21.9. 
https://steamcommunity.com/sharedfiles/filedetails/?id=3571030906

[h3]Information updated on 09/19/2025[/h3]

nothing","performance,bugs,story,gameplay"
18,206348925,"I want to like the BEAST however it's VERY underwhelming. The only thing new really is the map while everything else feels like a down grade from previous games such as combat and driving. For what was originally intended as a DLC for DL2 and ""evolved"" into it's own game, is mind-blowing for how underwhelming the game really is. I'm not sure how this game scored so high TBH.","gameplay,content"
19,207152842,"parkour feels atrocious. the progression has downgraded every game we went form 3 skill trees to 2 to 1 that lies to you its 2
the map doesnt have a layout that helps at all with parkour volatile chases are fucked the second you get spotted there are littlery 7 volatiles now and becasue the parkours terrible out running them suck
","gameplay,content"
